Metric,Prompt ID,Condition,Mean,Median,Std Dev,IQR,Min,Max
bleu_score,SSP1,Novel,0.06126735596862204,0.06199560793902809,0.018263138073886343,0.030907572297206747,0.037338109195819,0.09247869021001623
bleu_score,SSP1,Base,0.05334729608106301,0.05365036293543597,0.005218227729813803,0.007925162328236868,0.04505298239573264,0.060333385494451545
bleu_score,SSP2,Novel,0.054392877553543315,0.05429387230968438,0.008174730179757535,0.013864671627564662,0.04469237375809087,0.0663697598733481
bleu_score,SSP2,Base,0.048803850072699065,0.04706960845127929,0.015003900839005343,0.024166582882290386,0.029546150902274353,0.07472094833505666
bleu_score,SSP3,Novel,0.04253453591915424,0.04234767165856228,0.00771092631300722,0.011501745632164391,0.032190746504837636,0.05437048397340529
bleu_score,SSP3,Base,0.04838263179606028,0.049076790004861204,0.011296055574338297,0.011474327021183985,0.030369509796575954,0.06707130955201068
bleu_score,SSP4,Novel,0.03277303781986831,0.030203686012772023,0.008220118909229154,0.01045633840422222,0.019707488807900842,0.04642457166680086
bleu_score,SSP4,Base,0.03598416861859337,0.035461795635809784,0.008391689258103333,0.011952952966686903,0.027677459563293743,0.05317465504742005
bleu_score,SSP5,Novel,0.04220400160694249,0.04336736832913279,0.00617727125379811,0.005517542570167386,0.03332307516901834,0.054414435815682255
bleu_score,SSP5,Base,0.03129558183377119,0.03183282916395008,0.007979209252205877,0.012441281356761182,0.020159945822208248,0.043023355236538
bleu_score,SSP6,Novel,0.046205861463708704,0.04713490952080303,0.011008435803909705,0.014026798726594333,0.025197667144972725,0.05941959543634293
bleu_score,SSP6,Base,0.024093811895751313,0.024795508065262296,0.008369096691916019,0.010629940207813764,0.009279992150164123,0.03484209094761903
bleu_score,SSP7,Novel,0.04333115534236915,0.04109676929716193,0.010328995272524408,0.008401791902412713,0.02646584985209756,0.06075698775609713
bleu_score,SSP7,Base,0.037147360058171874,0.03371190306827976,0.007402553389838711,0.010517637488270198,0.028481951727917364,0.05098331818392292
bleu_score,SSP8,Novel,0.04599302835394891,0.04913938375824471,0.01049789835099616,0.01292898861995502,0.02508488789742394,0.05911794958249251
bleu_score,SSP8,Base,0.04559663305397431,0.042767024676600554,0.008575192474640721,0.013956080981602476,0.03745761161204681,0.059934597227921035
bleu_score,SSP9,Novel,0.03949586046316779,0.037676691765403045,0.01161156606407662,0.008564686167345702,0.019249918957919106,0.060753519994597854
bleu_score,SSP9,Base,0.03930246831247021,0.036916955488972045,0.010839167668179144,0.014039020612965032,0.02472651647340678,0.058150901248495444
bleu_score,SSP10,Novel,0.01947545368306084,0.016994704362363538,0.007433104061287771,0.006510958570357387,0.013111733062190328,0.03827760181762252
bleu_score,SSP10,Base,0.021006055003412537,0.020997981594918225,0.003641845535734719,0.0055465466521303144,0.01645146811976552,0.026715225905008272
bleu_score,CEP1,Novel,0.06762782505401091,0.0694186244256785,0.01159907961453591,0.016586920985363893,0.04820440531952979,0.08091009842363504
bleu_score,CEP1,Base,0.049935888401112904,0.05193624577110045,0.013982168994752438,0.018204640240655788,0.03139308020563795,0.07393107564691115
bleu_score,CEP2,Novel,0.06039874490056074,0.0602483472946713,0.010969857717922919,0.017153398302509656,0.04789708645076046,0.07844437683416841
bleu_score,CEP2,Base,0.05334149250390531,0.050088711499516714,0.014616108219021592,0.024545605963169875,0.03616848115459612,0.07665184503612503
bleu_score,CEP3,Novel,0.06107248779387695,0.05672934226512004,0.014378122181191997,0.008828713459260153,0.04291953436589833,0.0964241224088784
bleu_score,CEP3,Base,0.05044638400587849,0.0517048588280537,0.015102696722958733,0.013574938592074079,0.025802088651178116,0.0748150362317702
bleu_score,CEP4,Novel,0.0543932036980629,0.05571151944247756,0.015491779038668574,0.029313793149959008,0.035904882035604706,0.07482721562214666
bleu_score,CEP4,Base,0.06273593412301201,0.05923782057598075,0.01662144810439887,0.021833817203195882,0.034171757097499145,0.08625622548581065
bleu_score,CEP5,Novel,0.053712616306035445,0.05276568980362667,0.013173181503836676,0.009870522671629751,0.02378927711229444,0.07084571451973948
bleu_score,CEP5,Base,0.05063983222345172,0.05024865121724148,0.007927889207616693,0.006696824960086049,0.03976552427657396,0.06400534179008359
bleu_score,CEP6,Novel,0.02492564415275423,0.021891304646374926,0.007409905362097039,0.009466202661014621,0.017295172540857863,0.03895599052096943
bleu_score,CEP6,Base,0.026769961920707613,0.025653034217978158,0.007487403148662648,0.011776990975971374,0.016101574382446564,0.03743510128006856
bleu_score,CEP7,Novel,0.05775636831428137,0.05649279720851384,0.010685392225815583,0.012381766835588136,0.03666026072052168,0.07285247148649535
bleu_score,CEP7,Base,0.041241988394186684,0.04645279365249233,0.013278670794576697,0.02246826362385329,0.021751692519937922,0.0575819788870146
bleu_score,CEP8,Novel,0.029742765172592982,0.02646333710192317,0.011362925394497436,0.011204651883514619,0.01828881578264465,0.05024025941547359
bleu_score,CEP8,Base,0.03839715189967619,0.036715538176130685,0.014542059126730577,0.016930367200597603,0.019622971939077437,0.0623849593165018
bleu_score,CEP9,Novel,0.06429423699714464,0.06193356749418477,0.014350756227985385,0.02502952258961076,0.04504209518495532,0.08511988740885106
bleu_score,CEP9,Base,0.05851971284195266,0.057719460500111536,0.014368561669008227,0.015419443302753223,0.04241372386576103,0.09013015778954919
bleu_score,CEP10,Novel,0.06066949320492486,0.06013276514511694,0.007306401030628205,0.007526316886377976,0.05275113501326251,0.0776795027530259
bleu_score,CEP10,Base,0.04875283496027351,0.04777803227189638,0.010493060442208072,0.014329333705184036,0.030662882556706583,0.06398287695913289
bleu_score,CT1,Novel,0.03156169613577828,0.031316037525516684,0.007693157683440382,0.005205823780817655,0.01444730816167476,0.043584782437974964
bleu_score,CT1,Base,0.0279083072085131,0.023760656453401578,0.012175850600235856,0.019981121292927617,0.014426100674418003,0.04687899135797707
bleu_score,CT2,Novel,0.04521061453157464,0.04605611059383745,0.011800818836576946,0.012260657954338706,0.028189022425328385,0.06672978444265223
bleu_score,CT2,Base,0.036526370389987864,0.035954227180761356,0.006856406632820454,0.011092867242919732,0.027091436769331925,0.045967679179169774
bleu_score,CT3,Novel,0.048232719986560695,0.04409675995191281,0.014688902334064696,0.01716208330798087,0.028212000952112525,0.07261796502016328
bleu_score,CT3,Base,0.05282182577257836,0.051623476573583016,0.012920859198175861,0.01625452472372834,0.040094687294804546,0.08176209474477757
bleu_score,CT4,Novel,0.04620893632030661,0.04588865525191245,0.012613994414220953,0.00931059584143526,0.023757836541074134,0.06577408109533195
bleu_score,CT4,Base,0.04121445614153524,0.03444564345275867,0.01661863831151946,0.024019809939500737,0.0173738801720222,0.06809517762751803
bleu_score,CT5,Novel,0.05398185027022945,0.05525776392641063,0.011745650925853463,0.01690943758926742,0.036641979951005835,0.06982924064635052
bleu_score,CT5,Base,0.0484449565223507,0.04810245574200317,0.008439850540417392,0.011421363944348097,0.03570173501139235,0.060864846412814616
bleu_score,CT6,Novel,0.05370424751017198,0.05624263352575802,0.016312251684563198,0.02402493707212669,0.03469350211632603,0.08063358349754567
bleu_score,CT6,Base,0.043075019407738405,0.04291148875833428,0.009407372855033016,0.00745073068589637,0.02069386604212078,0.054660757441762
bleu_score,CT7,Novel,0.03250499256380503,0.033703622800192484,0.006818005433727491,0.010546672228686861,0.022228800004533103,0.04033455529822679
