Metric,Group,Condition,Mean,Median,Std Dev,IQR,Min,Max
context_similarity,SSP,Base,0.932338085770607,0.9329290986061096,0.014657989688092956,0.01814284920692444,0.8830528259277344,0.9574711322784424
context_similarity,CEP,Novel,0.9479401403665543,0.9524421989917755,0.014459803844438873,0.019258767366409302,0.9142224788665771,0.9710788726806641
context_similarity,CEP,Base,0.9431043303012848,0.9448961615562439,0.01375115933489634,0.01713496446609497,0.9004623889923096,0.9683653116226196
context_similarity,CT,Novel,0.9397355669736862,0.942785918712616,0.014265708037159989,0.016723304986953735,0.9010693430900574,0.9738394021987915
context_similarity,CT,Base,0.9358931624889374,0.9379695057868958,0.014850827664327763,0.020811066031455994,0.9012501239776611,0.9701318740844727
context_similarity,EXP,Novel,0.9425801217556,0.942852258682251,0.012566864748807036,0.01643708348274231,0.906948447227478,0.970303475856781
context_similarity,EXP,Base,0.9415544241666793,0.9417381882667542,0.016132392707360773,0.022840827703475952,0.8986842632293701,0.9730743169784546
context_similarity,POP,Novel,0.9442284196615219,0.945028156042099,0.011333373690847711,0.014314696192741394,0.9135876893997192,0.9707868099212646
context_similarity,POP,Base,0.9390082061290741,0.9418946504592896,0.015519788569831222,0.02090241014957428,0.8938414454460144,0.963747501373291
context_similarity,PSP,Novel,0.94549840092659,0.9477180540561676,0.012797554173009843,0.016289666295051575,0.8872663378715515,0.9696961641311646
context_similarity,PSP,Base,0.9447898536920547,0.9449023902416229,0.011052624167323423,0.013589680194854736,0.9102880954742432,0.968916654586792
